Hour,kg CO2 (average)
0,98121.5473786031
1,78541.61417595735
2,65629.80116343297
3,66889.81890793983
4,94800.42013203708
5,58503.61453856481
6,68964.36905641598
7,70130.51934092652
8,77414.3030562953
9,83644.47897374042
10,89573.03116522083
11,79709.6165661478
12,75591.70784915438
13,81326.3609568728
14,89716.35311724182
15,82455.73681479566
16,73109.82537825538
17,85045.8166283048
18,72907.8303822383
19,85969.89860745225
20,88666.87548605334
21,72338.62095515926
22,103582.8039784329
23,68577.67888218632
